County,Cases,Deaths,Detroit
alcona,453.58038988612236,19.301293186643505,No
alger,208.8600637572826,0,No
allegan,669.0702054940465,5.9662311317940455,No
alpena,521.8617771509169,49.365303244005645,No
antrim,308.1532206291461,0,No
arenac,472.0430822418722,19.94548234824812,No
baraga,432.69230769230774,24.03846153846154,No
barry,533.0542701571366,6.540543192112105,No
bay,988.2316715260338,50.03704665954601,No
benzie,473.1594660057455,11.26570157156537,No
berrien,1237.827703206804,48.0079926820249,No
branch,1467.1496034111228,11.462106276649397,No
calhoun,1109.4009086380097,34.204049462029786,No
cass,1182.8935395814376,32.91193154318239,No
charlevoix,407.7122389879591,11.431184270690443,No
cheboygan,365.9544327706292,7.869987801518908,No
chippewa,213.23666604472638,0,No
clare,367.3960399258705,13.005169554898073,No
clinton,881.1072454999245,17.647355417738115,No
crawford,913.6033378893604,35.96863534997482,No
delta,1561.7592101960565,22.310845859943665,No
dickinson,685.4981680652405,7.879289288106213,No
eaton,631.9086555096243,9.105312039043577,No
emmet,480.3650774588687,12.009126936471718,No
genesee,1161.7333346440823,75.94152748149386,No
gladwin,414.4137032797884,7.893594348186447,No
gogebic,1106.253312135665,13.248542660307367,No
grand traverse,535.7933738779126,9.722057187300834,No
gratiot,719.2295376733417,36.94672282568536,No
hillsdale,782.5307656997967,59.01768344663272,No
houghton,1551.6717744830062,5.521963610259808,No
huron,728.3578258358467,16.043123917089137,No
ingham,1232.1724426529113,16.73868857499103,No
ionia,588.6933499454914,10.901728702694284,No
iosco,909.0546628922292,47.844982257485746,No
iron,1826.032202932446,35.98093010704327,No
isabella,1026.0480145120603,19.840707462940394,No
jackson,710.8542213659231,28.33342777809259,No
kalamazoo,1152.64091818628,36.244195265601995,No
kalkaska,493.7163375224416,22.44165170556553,No
kent,1558.1551149764603,26.920123710204866,No
keweenaw,520.5868433506862,0,No
lake,294.58799764329603,0,No
lapeer,722.4973871949834,40.89607852047076,No
leelanau,528.3955155302334,4.5947436133063775,No
lenawee,856.8579162680886,18.317627663688356,No
livingston,741.0157720788186,16.734301133748904,No
luce,206.90752825083558,0,No
mackinac,630.3884305182163,0,No
macomb,1694.0665943419847,117.06081332115474,Yes
manistee,326.1578604044357,12.23091976516634,No
marquette,595.3454807865777,18.040772145047807,No
mason,463.91752577319585,0,No
mecosta,523.5962797106442,6.889424733034791,No
menominee,1823.0866292477049,8.702084149153722,No
midland,755.9278443437609,13.219723827951302,No
missaukee,423.47647720505523,6.616819956328988,No
monroe,1028.9884936751773,18.612194976036797,No
montcalm,534.6423211605803,9.379689844922462,No
montmorency,172.69293038316243,0,No
muskegon,897.5274788579856,40.32536811300321,No
newaygo,795.631187106275,4.090648776896016,No
oakland,1656.130876747141,95.37801778907243,Yes
oceana,1983.0985915492959,22.535211267605636,No
ogemaw,324.55135547919053,23.864070255822835,No
ontonagon,742.0189818809318,0,No
osceola,424.14635191294286,0,No
oscoda,374.57709038182696,12.08313194780087,No
otsego,737.8876951145347,44.59760794648287,No
ottawa,1209.663538661728,22.71991848368641,No
presque isle,211.9642016015073,7.850525985241011,No
roscommon,427.0641433595713,16.747613465081226,No
saginaw,1573.8993710691825,73.37526205450735,No
sanilac,366.66504783643336,16.997717449371084,No
schoolcraft,359.4447198810114,0,No
shiawassee,769.8850305021117,46.92632566870014,No
st. clair,649.566641771842,35.77323534395652,No
st. joseph,1322.0189047065185,18.020084202938914,No
tuscola,978.749333536446,59.029629065427685,No
van buren,1028.5229562082493,22.532075071572475,No
washtenaw,1017.082566185846,31.269964929116924,No
wayne,2021.5634960003192,170.07908135629944,Yes
wexford,385.46584593318596,11.952429331261579,No
